64455	0.0004
64456	0.0008
64457	0.0006
64458	0.0006
64459	0.0008
64460	0.0008
64461	0.0008
64462	0.0008
64463	0.0004
82003	0.0008
64464	0.003
64465	0.003
64466	0.003
64467	0.003
64468	0.003
64469	0.003
64470	0.003
64471	0.003
64472	0.003
64473	0.003
64474	0.003
64475	0.003
64476	0.003
64477	0.003
64478	0.003
64479	0.003
64480	0.003
82004	0.003
64481	0.01
64482	0.01
64483	0.01
64484	0.01
64485	0.01
64486	0.01
64487	0.01
64488	0.01
64489	0.01
64490	0.01
64491	0.01
64492	0.01
64493	0.01
64494	0.01
64495	0.01
64496	0.01
64497	0.01
64498	0.01
64499	0.01
64500	0.01
64501	0.01
64502	0.01
64503	0.0212
64504	0.025
64505	0.025
64506	0.025
64507	0.026
64508	0.026
64509	0.026
64510	0.026
64511	0.026
64512	0.026
64513	0.026
64514	0.026
64515	0.026
64516	0.026
64517	0.026
64518	0.026
64519	0.026
64520	0.026
64521	0.026
64522	0.026
64523	0.026
64524	0.026
64525	0.026
64526	0.026
64527	0.026
64528	0.026
64621	0.001
64622	0.001
64623	0.001
64624	0.003
64625	0.003
64626	0.003
64627	0.003
64628	0.009
64629	0.009
64630	0.008
64631	0.008
64617	0.0004
64618	0.0004
64619	0.0006
64620	0.0006
