1,4217,1
1,4218,1
1,4219,1
1,4220,1
1,2357,2
1,2358,2
1,2359,2
1,2360,2
1,2362,3
1,2363,3
1,2364,3
1,2365,3
1,2367,4
1,2368,4
1,2369,4
1,2370,4
1,3464,5
1,3482,5
1,3483,5
1,3490,5
1,3486,6
1,3487,6
1,3488,6
1,3489,6
1,3491,7
1,3492,7
1,3493,7
1,3494,7
1,3495,8
1,3496,8
1,3497,8
1,3498,8
1,3499,9
1,3500,9
1,3501,9
1,3502,9
1,3984,10
1,3985,10
1,3986,10
1,3987,10
2,16397,1
2,724,1
2,712,1
2,29018,1
2,29029,1
2,718,1
2,730,1
2,16398,2
2,725,2
2,713,2
2,29019,2
2,29030,2
2,719,2
2,731,2
2,16399,3
2,726,3
2,714,3
2,29020,3
2,29031,3
2,720,3
2,732,3
2,16400,4
2,727,4
2,715,4
2,29021,4
2,29032,4
2,721,4
2,733,4
2,16401,5
2,728,5
2,716,5
2,29022,5
2,29033,5
2,722,5
2,734,5
2,16402,6
2,729,6
2,717,6
2,29023,6
2,29034,6
2,723,6
2,735,6
2,16403,7
2,2566,7
2,2574,7
2,29024,7
2,29035,7
2,2562,7
2,2570,7
2,16404,8
2,2567,8
2,2575,8
2,29025,8
2,29036,8
2,2563,8
2,2571,8
2,16405,9
2,2568,9
2,2576,9
2,29026,9
2,29037,9
2,2564,9
2,2572,9
2,16406,10
2,2569,10
2,29027,10
2,29038,10
2,2565,10
2,2573,10
2,2577,1
2,692,1
2,693,2
2,694,3
2,695,4
2,696,5
2,702,1
2,703,2
2,704,3
2,705,4
2,706,5
2,707,1
2,708,2
2,709,3
2,710,4
2,711,5
2,697,1
2,698,2
2,699,3
2,700,4
2,701,5
2,38844,1
2,38845,2
2,38846,3
2,38847,4
2,38848,5
2,38849,6
2,38850,7
2,38851,8
2,38852,9
2,38853,10
2,38854,1
2,38855,2
2,38856,3
2,38857,4
2,38858,5
2,38859,6
2,38860,7
2,38861,8
2,38862,9
2,38863,10
2,50138,1
2,50139,2
2,50140,3
2,50141,4
2,50142,5
2,50143,6
2,50144,7
2,50145,8
2,50146,9
2,50147,10
2,50126,1
2,50129,2
2,50130,3
2,50131,4
2,50132,5
2,50133,6
2,50134,7
2,50135,8
2,50136,9
2,50137,10
2,4556,1
2,755,2
2,756,3
2,6190,4
2,757,5
2,6191,6
2,758,7
2,6192,8
2,759,9
2,6193,10
2,4557,1
2,750,2
2,751,3
2,6185,4
2,752,5
2,6186,6
2,753,7
2,6187,8
2,754,9
2,6188,10
2,53804,1
2,53805,2
2,53806,3
2,53807,4
2,53808,5
2,53809,6
2,53810,7
2,53811,8
2,53812,9
2,53813,10
2,61219,1
2,61220,2
2,61221,3
2,61222,4
2,61223,5
2,61224,6
2,61225,7
2,61226,8
2,61227,9
2,61228,10
2,61229,1
2,61230,2
2,61231,3
2,61232,4
2,61233,5
2,61234,6
2,61235,7
2,61236,8
2,61237,9
2,61238,10
3,16531,1
3,4006,1
3,685,1
3,19449,1
3,21200,1
4,2556,1
4,1835,1
4,18820,1
4,18821,1
4,18823,1
4,18822,1
4,686,1
4,2559,1
4,2558,1
4,2561,1
4,2560,1
4,2557,1
4,2555,1
4,2554,1
4,18827,1
4,18826,1
4,18825,1
4,18824,1
4,2553,1
